Id,Allapot,Visszalepes,Olvas,Szokoz,$,Egyeb,{,},(,*,),:,=,<,>,Betu,Szamjegy
1,Kezdőállapot,nem,igen,19,21,19,6,19,8,19,19,12,19,14,17,2,4
2,Azonosítóban,-,igen,3,3,3,3,3,3,3,3,3,3,3,3,2,2
3,Azonosító vége,igen,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Számban,-,igen,5,5,5,5,5,5,5,5,5,5,5,5,5,4
5,Szám vége,igen,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,{} komm.-ban,-,igen,6,19,6,6,7,6,6,6,6,6,6,6,6,6
7,{} komm. vég ,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,(-t talált,-,igen,20,19,20,20,20,20,9,20,20,20,20,20,20,20
9,(**) komm.ban,-,igen,9,19,9,9,9,9,10,9,9,9,9,9,9,9
10,*  (**)-ban,-,igen,9,19,9,9,9,9,10,11,9,9,9,9,9,9
11,(**)komm.vég,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,: -t talált,-,igen,20,19,20,20,20,20,20,20,20,13,20,20,20,20
13,:= token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,< -t talált,-,igen,20,19,20,20,20,20,20,20,20,15,20,16,20,20
15,<= token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,<> token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,>-t talált,-,igen,20,19,20,20,20,20,20,20,20,18,20,20,20,20
18,>= token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,Hibakezelő,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,Továbbfejlesztés,igen,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,Stop,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1
